,ic_tr_expand,ic_binary
log_atr14p,-0.174,0.26
expansion_today,0.163,0.073
dist20h,0.128,-0.068
turnov_ratio,0.123,0.088
opt_vol_ratio,0.119,0.094
fut_vol_ratio,0.114,0.116
trades_ratio,0.113,0.082
vol_ratio,0.112,0.09
deliv_x_vol,0.103,0.085
prev_squeeze,-0.101,0.037
deliv_ratio,0.09,0.078
ma20_dist,0.081,0.003
dist60h,0.077,-0.06
ret10,0.07,0.002
ret5,0.066,0.004
ret20,0.062,0.003
atr5_atr20,0.054,0.057
ma20_slope,0.05,0.002
call_build,-0.049,0.017
pcr_oi,0.049,-0.017
ret1,0.046,0.007
opt_oi_chg5,0.044,0.076
squeeze,-0.041,0.073
top3_strike_conc,0.039,0.028
dist252h,0.038,-0.055
run_dir,0.037,0.001
deliv_up_day,0.037,-0.185
clv,0.037,0.0
poi_state,-0.035,-0.011
deliv_spike,-0.031,-0.04
foi_chg1,0.03,0.047
doi_norm,0.03,0.049
range_pct,0.029,0.218
pcr_chg5,0.018,-0.001
gap_pct,0.009,0.038
foi_chg5,0.008,0.054
vol_ratio5,0.007,0.055
deliv_pct,0.005,-0.174
basis_pct,0.004,0.01
fut_oi,-0.004,-0.032
pcr_vol,0.003,-0.019
pcr_chg1,0.001,-0.004
nr7,,
inside_day,,
dow,,
vix,,
vix_chg1,,
vix_chg5,,
nifty_ret1,,
nifty_pcr,,
mkt_breadth,,
days_to_exp,,
fii_stf_net,,
fii_stf_net_chg5,,
fii_idf_net,,
client_stf_net,,
