rank,symbol,close,prob,vol_x,deliv_pct,deliv_x,squeeze,range_x_atr,atr_pct,fut_oi_5d,pcr,fingerprints
1,SAIL,186.4,0.582,0.52,41.0,0.53,0.97,0.55,3.98,-2.0,1.1,—
2,ADANIENT,3104.7,0.567,2.82,37.0,1.88,1.11,2.24,2.98,-9.0,0.77,VOL-SURGE 2.8x · TRADE-SURGE · DELIV-ACCUM 1.9x · RANGE-EXP T0 · FUT-OI-9% · OPT-ACTIVITY · PCR-SHIFT
3,MANAPPURAM,320.0,0.554,1.05,36.0,0.94,0.94,1.49,3.3,5.0,0.56,RANGE-EXP T0 · FUT-OI+5%
4,ANGELONE,299.05,0.542,1.21,38.0,1.25,1.11,1.19,3.38,-5.0,0.59,DELIV-ACCUM 1.3x · FUT-OI-5%
5,COFORGE,1845.0,0.516,5.47,46.0,5.09,0.93,3.04,3.02,10.0,0.94,VOL-SURGE 5.5x · TRADE-SURGE · DELIV-ACCUM 5.1x · RANGE-EXP T0 · FUT-OI+10% · OPT-ACTIVITY
6,BANDHANBNK,171.7,0.476,1.8,32.0,1.43,1.09,1.34,2.75,11.0,0.66,VOL-SURGE 1.8x · TRADE-SURGE · DELIV-ACCUM 1.4x · RANGE-EXP T0 · FUT-OI+11% · OPT-ACTIVITY · STRIKE-PIN
7,ADANIPORTS,1775.0,0.474,2.47,56.0,2.24,1.07,1.91,2.35,-11.0,0.86,VOL-SURGE 2.5x · TRADE-SURGE · DELIV-ACCUM 2.2x · RANGE-EXP T0 · FUT-OI-11% · OPT-ACTIVITY
8,ADANIPOWER,214.9,0.472,1.64,38.0,1.5,0.94,1.48,3.02,-4.0,0.69,VOL-SURGE 1.6x · TRADE-SURGE · DELIV-ACCUM 1.5x · RANGE-EXP T0 · OPT-ACTIVITY
9,LTM,4412.0,0.467,3.04,53.0,4.1,0.84,1.19,2.82,22.0,0.62,VOL-SURGE 3.0x · TRADE-SURGE · DELIV-ACCUM 4.1x · FUT-OI+22%
10,GVT&D,4673.0,0.464,1.06,34.0,0.79,0.73,1.11,3.59,-2.0,0.77,SQUEEZE · OPT-ACTIVITY · PCR-SHIFT
